url,title,product,author,votes
https://community.conga.com/s/ideadetail?id=087Ub0000000AiXIAU,Reject Changes in Parallel review process,Conga CLM (fka Apttus CLM),Mary Robles,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000AdhIAE,Automatic error reporting,Conga CLM (fka Apttus CLM),Jesse Hoffart,3 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000Ac5IAE,Apply contract pricing irrespective of line item being cloned from an asset,Pricing & Promotions,John Hammons,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000AaTIAU,Ability to attach fully Signed documents in another object's record,Conga Sign,Chaitanya Taneja,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000AYrIAM,Conga Query Builder bugs out when object has too many fields,Conga Composer,Jorji Macatangay,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000AXFIA2,X-Author Excel - App to load files 1 by 1 not in bulk as it can lead to timeouts with large / many files,X-Author for Excel,Sandra Wicha,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000AVdIAM,"""Approve"" Tag not available in ""Preview and Tag"" Page",Conga Sign,Pradeep V,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000AU1IAM,Support Checkbox (Boolean) Data Types in Default Attribute Rules,Configuration,Nic James,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000ASPIA2,CLM : AsyncCloneAmendRenew Admin Entry is not working with Agreement Documents,Conga CLM (fka Apttus CLM),Snehal Hissal,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000AQnIAM,Increase decimal value from 15 to 50 for righthand comparators in Conga Approvals with Conga CPQ,Conga Approvals (fka Apttus Intelligent Workflows and Approvals),John Hammons,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000APBIA2,Ability to retrieve a direct link to being a Signing process as opposed to distributing email directly from conga,Conga Sign,Rocky S Radhakrishnan Thazhepurakal,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000ANZIA2,Please remove Salesforce Actions from Approval Request related list via the Quote.,Conga Approvals (fka Apttus Intelligent Workflows and Approvals),Rahul Karwal,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000ALxIAM,Product Limitation: Composer - Quote Generate Proposal Cancel or Back button not visible,Conga Composer,Rahul Karwal,1 Vote
